model,topic,n_docs,model_top_terms,jaccard,overlap_count,token_hit_nps,npmi_mean,top_nps
bertopic,0,843,"rat, mouse, maternal separation, el, separation, expression, earlylife, maternal",0.03225806451612903,1,6,-6.297034462930141,"maternal separation, has been, the development, prefrontal cortex, the impact, the present, have been, and rats"
bertopic,1,758,"ace, experience ace, household dysfunction, ace exposure, relationship ace, ace ace, disease, exposure ace",0.0,0,3,-5.453704332013826,"adverse experiences, experiences aces, the aces, the adverse, the relationship, are with, have been, aces have"
bertopic,2,442,"emdr, posttraumatic ptsd, traumafocused, ptsd severity, tfcbt, randomize, reprocess, psychotherapy",0.06666666666666667,2,11,-5.78666658159449,"posttraumatic ptsd, with ptsd, and ptsd, for ptsd, and posttraumatic, randomized controlled, has been, eye movement"
bertopic,3,347,"csa, csa survivor, experience csa, survivor csa, history csa, perpetrator, csa experience, disclosure",0.0,0,3,-6.29497879759456,"csa survivors, the this, the current, the impact, csa with, has been, the present, was conducted"
bertopic,4,323,"ipv, intimate partner, intimate, partner violence, violence ipv, perpetration, ipv victimization, experience ipv",0.10344827586206896,3,11,-5.661330104368489,"intimate partner, partner violence, and intimate, has been, ipv perpetration, the relationship, ipv victimization, the role"
bertopic,5,313,"injury, fracture, infant, head, pediatric, skeletal, nonaccidental, hemorrhage",0.0,0,5,-6.607927460623305,"the this, the emergency, and setting, the most, with suspected, who were, the pediatric, and mortality"
bertopic,6,306,"attachment, attachment style, style, insecure, insecure attachment, attachment anxiety, attachment insecurity, anxious",0.10344827586206896,3,9,-5.723332137962625,"the relationship, insecure attachment, and attachment, attachment styles, the role, the mediating, the present, role attachment"
bertopic,7,270,"covid, pandemic, covid pandemic, lockdown, impact covid, coronavirus, pandemicrelated, outbreak",0.03225806451612903,1,7,-5.752239209784358,"the pandemic, the impact, and during, the this, the coronavirus, has been, coronavirus disease, this aimed"
bertopic,8,266,"worker, protection, social work, social worker, welfare, professional, barrier, decision",0.03225806451612903,1,7,-6.468090869742342,"social work, social workers, and social, has been, the this, and their, the current, this paper"
bertopic,9,266,"offender, offend, juvenile, criminal, crime, justice, offense, recidivism",0.06666666666666667,2,7,-6.366498089787449,"who have, has been, criminal justice, justice system, the criminal, the current, have been, juvenile justice"
bertopic,10,247,"methylation, dna, dna methylation, epigenetic, gene, nr, fkbp, promoter",0.03225806451612903,1,12,-5.880418201324207,"dna methylation, has been, have been, hpa axis, the gene, receptor gene, glucocorticoid receptor, methylation dnam"
bertopic,11,243,"cortisol, hpa, axis, hpa axis, hair, hair cortisol, diurnal, hypothalamicpituitaryadrenal",0.10344827586206896,3,10,-5.915194584597662,"hpa axis, has been, hair cortisol, and cortisol, the current, have been, the role, the relationship"
bertopic,12,240,"attempt, suicide attempt, suicidal, ideation, attempt suicide, suicide ideation, suicidal ideation, suicidality",0.14285714285714285,4,14,-5.705491682725659,"and suicide, suicide attempts, suicide attempt, suicidal ideation, for suicide, with suicide, and suicidal, this aimed"
bertopic,13,227,"cm, mdd, history cm, relationship cm, cm experience, cm exposure, cm type, experience cm",0.0,0,4,-6.29638112240468,"has been, major depressive, the relationship, the role, the impact, the present, and healthy, this aimed"
bertopic,14,218,"role resilience, connordavidson, connordavidson resilience, resilience depression, cdrisc, family resilience, relationship resilience, ace",0.03225806451612903,1,9,-5.621531479040747,"and resilience, adverse experiences, the relationship, role resilience, the role, and depression, resilience with, experiences aces"
bertopic,15,207,"hiv, live hiv, adherence, hiv aid, infection, msm, aid, syndemic",0.0,0,5,-5.989127684509055,"living with, people living, who have, have with, south africa, hiv infection, hiv aids, hiv care"
bertopic,16,204,"drug, opioid, cannabis, misuse, sud, substance misuse, prescription, marijuana",0.0,0,5,-5.976828631899303,"and substance, with substance, the relationship, known about, the this, have been, the current, little known"
bertopic,17,199,"nssi, selfinjury, nonsuicidal, nonsuicidal selfinjury, selfinjury nssi, chinese, dysregulation, harm",0.03225806451612903,1,8,-5.436251660128217,"and nssi, nonsuicidal nssi, the mediating, the relationship, with nssi, this aimed, mediating role, and nonsuicidal"
bertopic,18,197,"psychosis, psychotic, fep, chr, firstepisode psychosis, hallucination, firstepisode, schizophrenia",0.0,0,9,-5.666885952858465,"with psychosis, and psychosis, for psychosis, the relationship, has been, have been, and psychotic, with psychotic"
bertopic,19,195,"class, latent class, latent, lca, ace, membership, class identify, class class",0.03225806451612903,1,5,-5.6570198266685665,"latent class, adverse experiences, experiences aces, and their, intimate partner, partner violence, the current, their with"
bertopic,20,194,"church, catholic, clergy, religious, crisis, spiritual, religion, institutional",0.0,0,12,-6.048525125911169,"catholic church, the catholic, the church, roman catholic, the crisis, has been, the roman, this paper"
bertopic,21,191,"bpd, borderline, borderline personality, personality bpd, impulsivity, trait, personality feature, emotion regulation",0.06666666666666667,2,9,-5.503734300932414,"borderline personality, with borderline, and borderline, the relationship, bpd with, has been, and with, the present"
bertopic,22,187,"rape, perpetrator, assault, myth, rape myth, victimsurvivors, police, victim perpetrator",0.0,0,4,-6.391589148148386,"the victim, has been, the this, the current, the perpetrator, the victims, the rape, who were"
bertopic,23,186,"mdd, major depressive, depressive mdd, gyrus, mdd healthy, connectivity, hcs, functional",0.06666666666666667,2,12,-5.540278036512752,"major depressive, with major, and healthy, mdd with, and major, the relationship, major depression, this aimed"
bertopic,24,185,"interviewer, forensic interview, investigative, forensic, rapport, feedback, police, witness",0.0,0,9,-6.220943895897908,"forensic interviews, interviews with, the present, the current, investigative interviews, this examined, the impact, the quality"
bertopic,25,183,"pain, chronic pain, pelvic, pelvic pain, fibromyalgia, catastrophizing, interference, opioid",0.06666666666666667,2,8,-5.625121607609003,"chronic pain, with chronic, and pain, adverse experiences, and chronic, the relationship, has been, experiences aces"
bertopic,26,179,"eat, ed, eating, binge eat, binge, nervosa, anorexia, disorder",0.03225806451612903,1,11,-5.577353370783111,"and eating, with eating, anorexia nervosa, binge eating, the relationship, disordered eating, eating behaviors, has been"
bertopic,27,170,"sleep, sleep quality, sleep disturbance, disturbance, sleep problem, sleep duration, duration, insomnia",0.10344827586206896,3,10,-5.492008739192595,"and sleep, sleep quality, the relationship, sleep disturbances, sleep problems, sleep disturbance, has been, with sleep"
bertopic,28,167,"connectivity, functional, functional connectivity, restingstate, amygdala, fc, cortex, restingstate functional",0.03225806451612903,1,9,-5.953701684518435,"functional connectivity, magnetic resonance, resonance imaging, functional magnetic, and functional, has been, the development, the relationship"
bertopic,29,165,"bd, bipolar, mood, bipolar bd, episode, mania, onset, mdd",0.03225806451612903,1,8,-5.6926417416052075,"with bipolar, major depressive, and bipolar, and healthy, and with, the relationship, this aimed, have been"
bertopic,30,165,"emotion regulation, dysregulation, emotion dysregulation, regulation strategy, difficulty emotion, suppression, er, regulation difficulty",0.06666666666666667,2,6,-5.4122118031213935,"emotion regulation, and emotion, emotion dysregulation, the relationship, regulation strategies, has been, the present, the mediating"
bertopic,31,157,"suicidal ideation, ideation, suicidal, relationship suicidal, thought, suicidality, experience suicidal, ideation suicidal",0.03225806451612903,1,9,-5.32513651307158,"suicidal ideation, and suicidal, the relationship, with suicidal, the mediating, the role, this aimed, for suicidal"
bertopic,32,156,"psychometric, psychometric property, internal consistency, property, consistency, internal, ctqsf, confirmatory",0.03225806451612903,1,5,-5.4570884251627145,"psychometric properties, the psychometric, and reliability, the this, this aimed, and validation, and validity, internal consistency"
bertopic,33,146,"dissociation, dissociative, dissociative experience, identity, dissociative identity, depersonalization, amnesia, psychotic",0.03225806451612903,1,9,-5.808462386940272,"dissociative experiences, and dissociative, and dissociation, the dissociative, the relationship, dissociative identity, with dissociative, have been"
bertopic,34,146,"violence exposure, genderbased, genderbased violence, exposure violence, experience violence, family violence, type violence, violence violence",0.06666666666666667,2,8,-5.811486488903106,"and violence, violence exposure, violence against, exposure violence, the violence, the this, experiences violence, the relationship"
bertopic,35,144,"disability, intellectual, intellectual disability, id, sexuality, developmental disability, sexuality education, disabled",0.03225806451612903,1,7,-5.26845957356755,"with intellectual, people with, intellectual disabilities, intellectual disability, with disabilities, for with, women with, and with"
bertopic,36,141,"imagebased, nonconsensual, image, sexting, revenge, pornography, porn, digital",0.0,0,4,-6.290984904943341,"sexually explicit, intimate images, this paper, the present, revenge porn, without consent, form violence, nude images"
bertopic,37,140,"parentchild, parentchild relationship, parenting, parentchild interaction, foster parent, parent parent, autistic, caregiver",0.03225806451612903,1,5,-6.261454575749701,"the relationship, the current, and parents, and parenting, adverse experiences, and their, parents with, this examined"
bertopic,38,136,"sport, athlete, coach, harassment, safeguard, iv, interpersonal violence, safe",0.03225806451612903,1,4,-6.202447918829965,"the this, violence sport, elite athletes, have been, interpersonal violence, young athletes, the present, the sport"
