Topic,Count,Name,Representation,Representative_Docs
-1,3744,-1_intimate_intimate partner_ipv_partner violence,"['intimate', 'intimate partner', 'ipv', 'partner violence', 'attitude', 'shame', 'mother', 'groom', 'dental', 'assault', 'maternal', 'loneliness']","['protective intimate partner violence woman bear australia woman refugee background intimate partner violence ipv depressive harm woman pregnancy need assist understand subgroup woman refugee affect ipv recruit woman prenatal visit antenatal clinic australia january march woman bear australia refugee background complete follow-up follow-up post birth intimate partner violence ipv latent class growth group trajectory ipv point three-step process identify characteristic respective latent class membership similar three-class solution observe cohort compose limited ipv australian-born refugee respectively change ipv various combination ipv category combine ipv ipv point transition combined category old few couple well partner family friend relationship few partner event few living difficulty emerge protective changing combine category distinct pattern refugee assist understand define high target intervention prevent ipv unique protective ipv-affected class woman bear australia arrive refugee intimate partner violence protective people refugee background posttraumatic-stress-disorder gender-based violence asylum-seekers domestic violence perpetration', 'witness intimate partner violence predict later violent attitude kenyan woman intergenerational transmission cross-sectional violence corporal punishment remain global concern understand source support corporal punishment culture potential intergenerational transmission essential policy-development engagement protect cross-section woman meru county kenya profile attitude toward violence velicer attitude towards violence-child subscale find history witness interpersonal violence predict violent attitude toward adulthood pathway form violent attitude mediate family function perceive attitude toward violence woman intervention prevent intimate partner violence promote attachments parent benefit future generation secondary prevention require development social support improve family function challenge violent attitude woman intergenerational transmission domestic violence cultural context prevention expose domestic violence corporal punishment parent experience environment support care', 'social determinant intimate partner violence urban obstetric intimate partner violence ipv pervasive lead severe consequence united state woman experience violence violence stalk intimate partner less known frequency ipv obstetric design nest case-control parturients single academic structured questionnaire administer randomly choose consent postpartum stay gather information social determinant sdoh birth force cause pregnancy verbal pregnancy pregnancy none quantify relationship ipv maternal sociodemographic characteristic pregnancy perceive support discrimination provide ipv ipv ipv enrol prepandemic unmarried status income food insecurity housing insecurity substance pregnancy gravidity unintended pregnancy social support racial discrimination ipv maternal race pregnancy covid pandemic ipv common five parturients maternal race ipv perinatal experience racism initiative aim address sdoh substance family plan access food housing remain key opportunity support pregnant experience ipv connection perceive discrimination ipv find highlight importance address influence racism gender-based discrimination adverse birth united state covid discrimination intimate partner violence ipv pandemic perinatal pregnancy racism pregnancy']"
0,843,0_rat_mouse_maternal separation_el,"['rat', 'mouse', 'maternal separation', 'el', 'separation', 'expression', 'earlylife', 'maternal', 'neuron', 'receptor', 'hippocampus', 'cortex']","['novel affect development mouse el develop link sequela adulthood present investigate el development establish novel el combine maternal separation paradigm mesh platform condition find novel el cause anxiety depression-like behavior induce social deficit memory impairment offspring mouse particular novel el induce enhanced depression-like memory impairment maternal separation establish el novel el cause upregulation arginine vasopressin expression downregulation gabaergic interneuron marker parvalbumin pv vasoactive intestinal peptide calbindin-d cabp brain mice finally offspring novel el cortical pv cabp k-positive cell cortical ionized calcium-binding adaptors-positive cell brain mouse establish el collectively indicate novel el induce negative development establish el mice calbindin-d parvalbumin maternal separation prefrontal cortex neuroinflammatory response interneuron development dentate gyrus expression alters memory subpopulation', 'influence basal ganglia dopamine receptor novel object recognition rat environmental stimulus recognize affect development mother-pup interaction constitutes determinant stimulus critical know dopaminergic system undergoes reorganization dopamine receptor involve recognition memory examine brief prolonged maternal separation neonatal min daily basal ganglion dopamine receptor novel object recognition task rat task observe discrimination di rat brief maternal separation independent re-ceptor autoradiography observe brief maternal separation induce decrease receptor bind basal ganglion nuclei prolong maternal separation induce increase re-ceptor bind caudate putamen cpu rat immunoblotting experiment find decrease increase protein cpu rat prolong maternal separation positive correlation observe di bind cpu internal globus pallidus substantia nigra bind nucleus accumbens core rat pearson correlation coefficient indicate long-lasting neonatal mother-offspring separation dopamine receptor depend duration maternal separation experience impairs recognition memory rat present suggest modulation striatal dopamine receptor underlie reduce recognition memory rat brief neonatal maternal separation neonatal handle maternal separation dopamine receptor nucleus accumbens striatum novel object recognition neonatal maternal separation postnatal-development performance adrenocortical-response synaptic plasticity rear condition prefrontal cortex memory deficit prenatal temporal-order', 'neonatal maternal separation affect metabotropic glutamate receptor expression anxiety-related rat exposure lead long-term neurochemical alteration stress-induced depression recently link dysregulation glutamate signal postsynaptic receptor role metabotropic glutamate receptor mglur stress-induced psychopathology target several human rodent blockade mglur produce antidepressant-like action mice lack mglur exhibit alter anxiety-like behavior learn well-known rodent mother-infant separation order examine neonatal maternal separation mglur expression anxiety-related adulthood observe brief min neonatal maternal separation prolong induced increase mglur mrna protein expression medial prefrontal cortex mglur protein dorsal ventral hippocampus rat test open-field elevated-plus maze task brief maternal separation result exploratory anxiety-related prolonged maternal separation result anxiety-related adulthood indicate long-lasting neonatal mother-offspring separation anxiety-like mglur expression depend duration maternal separation suggest mglur receptor medial prefrontal cortex hippocampus rat expose brief neonatal maternal separation underlie heighten ability cope anxiety-related hippocampus maternal separation medial prefrontal cortex metabotropic glutamate receptor neonatal handle medial prefrontal cortex posttraumatic-stress-disorder long-term potentiation fear extinction synaptic-transmission neural mechanism mglur function anxiolytic-like mood in-vivo']"
1,758,1_ace_experience ace_household dysfunction_ace exposure,"['ace', 'experience ace', 'household dysfunction', 'ace exposure', 'relationship ace', 'ace ace', 'disease', 'exposure ace', 'cumulative ace', 'type ace', 'cumulative', 'illness']","['frequency disparity adverse experience u experienced manifest deleteriously lifespan provide updated frequency estimate ace comprehensive geographically diverse date ace collect brfss surveillance system state ace survey comprise domain household illness household substance household domestic violence incarcerate household member parental separation divorce frequency calculate domain sum derive ace weight stratified demographic difference post-estimation f-tests experience least ace experience ace f-tests ace multiracial ace race ethnicity white ace black hispanic ace generally income educational attainment ace income educational attainment minority ace straight ace bisexual highlight common sociodemographic yet certain category identify at-risk ace essential improve attainment lifespan adverse experience brfss household dysfunction sexual-abuse disease insight impact', 'cumulative exposure adverse experience impact impulsivity mexican impulsivity remain unclear mexican examine cumulative adverse experience ace impulsivity consist ace item ace plutchik impulsivity screen tool impulsivity cumulative ace compute spss ace impulsivity experience ace experience ace impulsivity adulthood ace ace five ace experience ace present accumulation ace impulsivity adulthood impulsivity substance risk-factor', 'adverse experience ace problem cross-sectional adverse experience ace severe detrimental aim present ace mixed outpatient seven innsbruck austria participate complete questionnaire regard assessment ace experience domestic violence impact ace evaluate calculation binary logistic regression approach least form ace polyvictimized form ace frequent form ace peer ace ors various disease problem domestic violence retrospectively ace highly prevalent exposure number ace identification follow ace referral appropriate crucial challenge health-care professional adverse experience impairment disease victimization adulthood exposure violence']"
2,442,2_emdr_posttraumatic ptsd_traumafocused_ptsd severity,"['emdr', 'posttraumatic ptsd', 'traumafocused', 'ptsd severity', 'tfcbt', 'randomize', 'reprocess', 'psychotherapy', 'desensitization', 'complex ptsd', 'eye movement', 'session']","['effectiveness eye movement desensitization reprocess post-traumatic status personality randomize control introduction personality pd often exposure adverse event give strong link negative event pd pathology essential evaluate trauma-focused evaluate effectiveness eye movement desensitization reprocess emdr versus waitlist reduce post-traumatic ptsd status distinguish without ptsd examine impact emdr adverse event memory meet meet criterion ptsd randomly assign emdr waitlist pd structure interview dsm ptsd diagnosis evaluate clinician-administered ptsd dsm secondary examine effectiveness emdr various type memory group-by-time interaction great reduction ptsd emdr regardless ptsd ptsd large find post-treatment follow-up without ptsd moderate large emerge post-treatment follow-up emdr reduce criterion adverse event post-treatment emdr lose ptsd increase follow-up emdr effectively reduce ptsd pd regardless ptsd proved effective memory meet criterion personality eye movement desensitization reprocess adverse event post-traumatic structured interview interrater reliability axis ii borderline dropout version ptsd', 'twice-weekly versus once-weekly session either imagery rescripting eye movement desensitization reprocess ptsd irem-freq protocol randomize trauma-focused posttraumatic ptsd commonly deliver either twice initial suggests session frequency affect response investigated session frequency present compare twice-weekly versus once-weekly session ptsd imagery rescripting imrs eye movement desensitization reprocess emdr hypothesize effective deliver twice session frequency impact response whether type moderate frequency type frequency work best investigate irem-freq multicenter randomize conduct healthcare australia germany netherlands recruit randomize four condition emdr emdr twice imrs imrs twice consist session collect one-year follow-up primary clinician-rated ptsd severity secondary self-reported ptsd severity complex ptsd trauma-related cognition emotion depressive dissociation quality function process memory learn therapeutic alliance motivation reluctance avoidance additional investigation focus predictor ptsd severity change mechanism emdr imrs role emotion cognition memory optimization selection learn helplessness perspective therapist network structure ptsd sudden gain discussion extend knowledge trauma-focused ptsd specifically importance session frequency insight optimal session frequency lead improve less dropout turn reduction healthcare cost additional investigation broaden understanding work affect posttraumatic imagery rescripting eye movement desensitization reprocess randomize session frequency posttraumatic-stress-disorder personality-disorders interrater reliability complex ptsd axis-ii psychometric evaluation prolong exposure anxiety', 'web-based eye movement desensitization reprocess suicidal ideation protocol randomize controlled experience increase likelihood suicidal thought behavior eye movement desensitization reprocess emdr evidence-based trauma-focused psychotherapy desensitize painful memory reminder present long provoke overwhelming response preliminary suggests emdr acute suicidal major depressive addition social distancing restriction covid pandemic clinician emdr absence formal evaluation web-based emdr informal indicate good primary randomize controlled investigate whether remotely deliver emdr target experience suicidal think reduces suicidal thought secondary examine impact remotely deliver emdr depression anxiety posttraumatic dysregulation dissociation adverse event emdr explore whether target suicidal ideation emdr safe finally compare dropout randomize control express suicidal ideation meet criterion receive either session twice weekly emdr plus usual usual alone emdr session focus distress intrusive memory suicidal ideation primary secondary collect enrollment subsequent longer-term beyond scope protocol examine difference respect posttreatment emergency room visit hospitalization care protocol approve alberta ethic board protocol id pro funding provide foundation grant res recruitment start project completion date march contribute knowledge whether web-based delivery emdr safe effective reduce suicidal ideation potentially reduce suicide attempt suicide eye movement desensitization reprocess emdr telemedicine psychotherapy digital ehealth remote delivery virtual care posttraumatic-stress-disorder household dysfunction psychiatric-disorders complex ptsd dissociation depression severity dysregulation']"
3,347,3_csa_csa survivor_experience csa_survivor csa,"['csa', 'csa survivor', 'experience csa', 'survivor csa', 'history csa', 'perpetrator', 'csa experience', 'disclosure', 'professional', 'impact csa', 'narrative', 'qualitative']","['impact experience revictimization different perpetrator experience csa subsequent revictimization multiple victimization lead depression anxiety suicidality prior yield vary definition revictimization accounting revictimization occur adulthood multiple csa episode perpetrator broadly without specific focus csa examine survivor csa experienced revictimization different perpetrator compare depression suicidal ideation post-traumatic pstd hopelessness guilt shame csa perpetrator survivor csa complete online survey describe csa experience whether experienced csa multiple perpetrator series questionnaires almost half csa perpetrator survivor multiple csa perpetrator depression suicidal thought ptsd hopelessness shame facet guilt adulthood csa single perpetrator experience csa multiple perpetrator lead negative adulthood emphasize importance identification experience csa multiple single perpetrator depression ptsd consequence revictimization mental-health risk-factor victimization shame psychopathology hopelessness depression exposure woman', 'difference severity premarital chinese college student luzhou china purposethe adverse consequence premarital csa global problem random college student chinese city investigate relationship csa severity premarital student focus difference methodsa college student luzhou recruit multistage random sample self-administered questionnaire csa experience premarital binary logistic regression conduct analyse relationship csa premarital resultsthe csa mild moderate severe csa respectively premarital report adjust confound csa positively premarital notably cumulative csa premarital observe student stratification experience csa premarital difference observe student different csa severity conclusioncsa severity premarital college student stronger important emphasize csa prevention boys promote understand csa premarital csa prevention strategy consider csa severity difference csa premarital college student china reproductive gender-differences suicidal ideation alexithymia pregnancy attitude', 'recall prevention education home experience disclosure protective parenting knowledge csa prevention dominate focus education education reduces csa limited mixed investigate whether history receive school-based prevention csapp experience csa uniquely investigate whether parent-led csa education plsae receive protective parenting csa csa knowledge consider australian student m-age sd mo-age md-age history csapp plsae experience csa disclosure csa parent csa knowledge csapp attendance respondent plsae csa plsae csa csapp attendance plsae parental involvement care monitor supervision multivariate logistic regression involvement care monitor supervision csa plsae neither csapp attendance plsae csa disclosure csa knowledge add small body real-life experience call question over-reliance child-education csa prevention highlight role protective parent building parent capacity parenting practice likely effective csa prevention monitor involvement csa prevention effort csa prevention protective behavior education personal safety education parent adverse experience risk-factors national-survey program involvement teacher']"
4,323,4_ipv_intimate partner_intimate_partner violence,"['ipv', 'intimate partner', 'intimate', 'partner violence', 'violence ipv', 'perpetration', 'ipv victimization', 'experience ipv', 'domestic violence', 'domestic', 'woman experience', 'coercive']","['ipv characteristic violence victimize multiple ipv relationship empirical knowledge regard intimate partner violence ipv multiple partner mp scarce seek clinician many woman prevention future intimate partner violence relationship ipvrs quantitative obtain structure interview stratify help-seeking woman ipvr ipvr multiple ipvr ipvrs investigate family violence victimization perpetration ipv last relationship control sociodemographic contextual follow dependent woman ipvr ipvr ipvr woman ipvr ipvr multivariate logistic regression indicate nonvictimized woman ipv victimized woman nearly likely frequency peer victimization likelihood immigrant partner addition length relationship shorter ipv victimize woman woman ipvr woman ipv mp likely less education less likely immigrant ipv victimized woman indistinguishable regard characteristic victimization perpetration ipv indicate ipv mp ipv highlight importance address parent care ipv family intimate partner violence multiple partner peer victimization intimate partner violence revictimization experience woman perpetration attachment resource', 'relationship intimate partner violence form violence metaanalytic present aim explore relationship intimate partner violence ipv different form violence stalk perpetration victimization ipv perpetration victimization ipv perpetration victimization control behavior meta-analysis yield size compare strength correlate ipv victimization versus perpetration gendered meta-analysis found order strength control behavior victimization ipv victimization ipv perpetration ipv victimization stalk victimization ipv perpetration ipv victimization meta-analysis find order strength ipv perpetration positively stalk perpetration ipv perpetration cause injury partner control behavior victimization ipv perpetration ipv victimization control behavior perpetration ipv victimization find limited difference around ipv victimization approach ipv perpetration woman current highlight implication ipv intimate partner violence intimate partner violence metaanalysis perpetration victimization aggression gender-differences intergenerational transmission domestic violence violence spouse perpetration', 'intimate partner violence transgender nonconforming suggest intimate partner violence ipv problem anxiety depression almost exclusively conducted heteronormative cisgender lenses current exploratory quantitative relationship experience ipv transgender nonconforming tgnc tgnc complete survey online measure experience ipv depression anxiety satisfaction least form ipv victimization lifetime experience ipv ipv ipv ipv assault injury four type ipv positively anxiety depression none four type ipv satisfaction canonical correlation ipv victimization overlap variance large-sized ipv anxiety high load suggest tgnc experience ipv specifically tend anxiety support previous qualitative small-sample suggest ipv pervasive problem tgnc tgnc experience ipv problem ipv history trigger appropriate screening referral care setting transgender nonconforming anxiety depression intimate partner violence help-seeking gay victimization disparity challenge depression service victim']"
5,313,5_injury_fracture_infant_head,"['injury', 'fracture', 'infant', 'head', 'pediatric', 'skeletal', 'nonaccidental', 'hemorrhage', 'suspect', 'tbi', 'emergency', 'cpa']","['injury subsequent race medicaid status examine injury precede cm race ethnicity medicaid status case-control design member large integrate healthcare system injury category cod visit bruise fracture laceration head injury burn fall unspecified injury injury category predictor subsequent cm specifically fracture head injury high subsequent cm injury type predictor hispanic race ethnicity suggest type injury specific category thorough possible work inform development decision support tool aid healthcare provider detect injury injury prevention head prevention pediatric primary-care young-children depression infant', 'inflict skull crush injury infant describe infant skull fracture involve skull bone evaluation infant additional fracture sit body infant concern bruise face accidental mechanism injury initially give history law enforcement investigation lead father confess crush infant skulls frustration crush cause arm hand bilateral skull fracture involve skull bone see fall crush injury crush-like pattern injury absence clear plausible accidental mechanism raise concern possible nonambulatory infant crush injury head head-injuries fracture feature', 'identification initial subsequent injury young infant opportunity quality improvement evaluation identify opportunity improve identification evaluation describe initial recurrent injury young infant describe frequency history prior injury young evaluate pediatrician identifying practice variation skeletal survey example identification evaluation injury network six identify infant initial injury recurrent injury code infant young present least code injury track determine frequency recurrent injury consult available record young see inpatient consultation suspect reviewed identify history injury young code unique infant identify initial injury commonly fracture bruise ecchymosis superficial injury forty-two infant return injury demographic likelihood injury consult consults identify history least initial injury initial injury identify common bruise ecchymosis injury identify either varied completion skeletal survey infant bruise range injury range demonstrate young infant experience injury often experience injury exists variability identification injury completion skeletal survey network standardize quality improvement approach improve identification injury reduce variability practice observe sentinel injury head-injury']"
6,306,6_attachment_attachment style_style_insecure,"['attachment', 'attachment style', 'style', 'insecure', 'insecure attachment', 'attachment anxiety', 'attachment insecurity', 'anxious', 'representation', 'insecurity', 'secure', 'avoidant']","['major depressive insecure-avoidant insecure-anxious attachment style dissociative identity event major depressive mdd issue social interaction dimension dissociation consider dysfunctional strategy cope adverse event regard current mdd event occur give present explore attachment style proxy quality social interaction dimension dissociation event mdd mdd take part complete series questionnaires sociodemographic information attachment style dimension dissociation event attachment style follow anxious ambivalent attachment style avoidant dependent attachment style secure close attachment style insecure attachment style current dissociation event anxious attachment style dissociation psychotherapeutic mdd consider challenge attachment style dissociation important consider event recent occur adulthood current dissociation major depressive dissociation attachment style current event psychometric characteristic epidemiology experience inventory quality version earth', 'mediate role attachment style suicidal hungarian cross-sectional highlight crucial mediate role attachment style play relationship suicidal shape process respond experience often disrupt development secure attachment lead insecure style adulthood-such anxious avoidant attachment insecure attachment style influence regulation interpersonal relationship cop mechanism thereby exacerbate feeling isolation despair instance anxious attachment intensify fear abandonment hypersensitivity rejection increase instability suicidal ideation conversely avoidant attachment lead suppression reluctance seek support amplify feeling hopelessness psychopathological result trauma-such depression ptsd-are often filter attachment pattern shape distress experience manage analysed role attachment style suicidal examine mediating attachment style relationship suicidal age sd consisted history suicide without history suicide non-clinical attachment aa ctq tool relationship logistic regression generalize linear mediation conduct adjusted basic demographic severity adjust adjusted traumatization ctq adjust predict suicidal contrast secure attachment style predict suicide attempt adjust additionally secure attachment style mediate part traumatization severity suicidal indirect pm examine relationship attachment style find multiple avoidant attachment observe traumatization specific anxious-ambivalent attachment ctq secure attachment link traumatization mediate relationship suicidal attachment style either perpetuate maladaptive coping strategy hinder recovery understand mediate role crucial develop intervention address attachment insecurity promote resilience heal therapeutic approach aim fostering secure attachment pattern help mitigate reduce suicidal underscore importance incorporate attachment-focused strategy trauma-informed care attachment style suicide attempt adverse experience household dysfunction', 'experience attachment style experience destructive experience affect adulthood damaging sense trust towards people lead despair test experience attachment style adulthood find kind experience explain attachment style extent relational survey analyse structural equation model student collection develop bernstein relationship develop griffin bartholomew conclude experience negative secure attachment positive fearful preoccupy attachment predictor dismiss attachment relationship experience secure insecure attachment dimension experience find negative secure attachment positive insecure attachment type experience examine explain attachment style predict secure attachment negative way insecure attachment style positive way reveal experience attachment style experience attachment style emotion regulation sexual-abuse organization support term self']"
7,270,7_covid_pandemic_covid pandemic_lockdown,"['covid', 'pandemic', 'covid pandemic', 'lockdown', 'impact covid', 'coronavirus', 'pandemicrelated', 'outbreak', 'restriction', 'coronavirus disease', 'march', 'healthcare']","['covid difference sentinel injury reporting pandemic widespread concern covid pandemic scientific document scarce design explore whether present pediatric emergency covid pandemic conduct age present pediatric emergency filing sentinel injury visit present institution march july demonstrate increase june shift distribution type covid pandemic increase proportion pandemic pandemic non-medical observed increase specific type covid pandemic highlight need attention covid pediatric emergency', 'violence covid pandemic bandung indonesia violence include form vio-lence people whether perpetrated parent caregiver peer romantic partner stranger covid pandemic strained parent-child relation-ships due family financial pressure problem lockdown condition keep family home close proximity long exacerbate underlying tension describe violence bandung covid pandemic form violence violence descriptive hold october de-cember at-tending junior senior bandung fill society prevention ispcan screen tool-for icast-c indonesian version common form violence experience ado-lescents bandung covid pandemic ignore violence startle aggressively violence make feel unimportant minority con clusion pred ominant type violence bandung covid pandemic violence violence paediatr indones covid pandemic violence', 'evaluation violence towards covid pandemic lodz voivodship course covid infection many sparsely symptomatic contrast impact pandemic state quite different psychopathological course already present often exacerbate aim evaluate violence change covid pandemic investigate various affect violence survey response collect fourth wave covid cross-sectional anonymous collect demographic history state psychopathological presence violence suicidal self-harm behavior retrospectively covid pandemic lodz voivodship survey prepare google form decrease violence wave pandemic observe similar trend present violence difference violence present different pandemic wave type flat house live availability room people live house sibling type class older likely victim violence pandemic statistically obtain violence pandemic violence pandemic old small city size violence pandemic older statistically create violence observe decrease violence covid pandemic suggest home environment main source violence yet find predict form violence violence dangerous phenomenon pre-pandemic crisis situation pandemic covid pandemic prevention woman urban']"
8,266,8_worker_protection_social work_social worker,"['worker', 'protection', 'social work', 'social worker', 'welfare', 'professional', 'barrier', 'decision', 'service user', 'policy', 'qualitative', 'cps']","['advance protection explore influence social worker report social worker uniquely position identify examines whether lcsws likely non-clinically license social worker cross-sectional survey design collect response certify social worker connecticut complete crenshaw report survey vignette depict inclusive educational reporting tendency logistic regression employ relationship licensure status reporting lcsws likely educational suggest lcsws comply often mandate report law potentially offer protection consistency welfare intervention vulnerable experience educational underscore importance policy implication recruit select mentor employ clinically license social worker ensure adherence report law serf call action policymakers expand pathway licensure social worker prioritize recruitment lcsws enhance welfare educational license social work mandate report social work selection bias experience', 'social worker likelihood suspected survey chinese social worker recent survey report several middle-income china lacking examine reporting suspect ever social worker mainland china nationally representative china social work response complete social work module analyse indicate cent social worker china ever suspect ever likely young education social work qualification awareness behaviours great work autonomy social worker never argue order achieve reporting suspect chinese social worker necessary promote professionalisation social work education experience gain practice china extent social worker professional effectively potential characteristic define social worker proactively groundbreaking delf question analyse representative chinese social worker reveal exhibit insufficient professionalism report small reporting typically social worker likely young education social work qualification perception great work autonomy call promote professionalisation chinese social work education experience gain practice china influence report survey social worker general-practitioners corporal punishment experience perception knowledge attitude nurse', 'understand barefoot social worker decision make assess report china mandatory report new china barefoot social worker responsible detect reporting guide decision-making ecology examine barefoot social worker decision make assess report china setting cross-sectional collected barefoot social worker metropolitan city southern china descriptive bivariate binary logistic regression conduct dependent barefoot social worker assessment intention less severe severity receive social worker license report history assessment young severe severity welfare train assessment severity whether impact report family perceive reporting impact report report less severe attitude regard punishment offender victim subjective norm report report severe identify barefoot social worker decision make assess report china indicate importance provide train barefoot social worker recognize detect report important encourage receive continue social work train obtain social work license increase decision make increase effectiveness mandatory reporting need mandatory reporting barefoot social worker china mental-health protection intention canada nurse']"
