topic,display_label,n_documents,macro_tradition,lda_top_terms,top_noun_phrases
14,"Work, Service, Care, Victim",1842,"Policy, services & child protection systems","work, service, care, victim, state, protection, policy, healthcare, worker, law, system, paper","law enforcement, domestic violence, workplace violence, royal commission"
25,"Experience, Care, Class, Support",1662,Qualitative care & lived experience,"experience, care, class, support, need, service, approach, qualitative, social, people, identify, interview","lived experience, domestic violence, partner violence, intimate partner violence, who experience"
4,"Relationship, Mediate, Self, Attachment",1446,"Attachment, emotion regulation & relationships","relationship, mediate, self, attachment, emotion, role, regulation, mediation, emotion regulation, experience, negative, indirect","emotion regulation, equation modeling, insecure attachment, moderated mediation, mediated the relationship"
24,"Violence, Woman, Partner, Ipv",1365,Intimate partner & domestic violence,"violence, woman, partner, ipv, intimate, intimate partner, partner violence, experience, domestic, men, domestic violence, victimization","partner violence, intimate partner violence, domestic violence, violence victimization, ipv perpetration, ipv victimization, dating violence, interpersonal violence"
29,"Ace, Experience, Adverse, Adverse Experience",1201,ACE & epidemiological adversity,"ace, experience, adverse, adverse experience, ci, exposure, experience ace, aor, household, black, aor ci, regression","household dysfunction, ace exposure, adverse experience, linear regression, race ethnicity, domestic violence, parental separation"
26,"Rat, Maternal, Early, Life",1071,Preclinical stress biology (animal models),"rat, maternal, early, life, early life, mouse, separation, el, expression, maternal separation, animal, like","maternal separation, gene expression, maternal deprivation, limited bedding, social isolation, neonatal maternal separation, mechanisms underlying, sucrose preference"
11,"Ptsd, Csa, Posttraumatic, Post",913,"PTSD, CSA & post-traumatic psychopathology","ptsd, csa, posttraumatic, post, trauma, traumatic, post traumatic, disorder, posttraumatic stress, stress, exposure, stress disorder","ptsd severity, eye movement, desensitization and reprocessing, movement desensitization, eye movement desensitization, borderline personality, ptsd checklist, emotion regulation"
8,"Family, Mother, Maternal, Care",900,"Family, maternal & infant development","family, mother, maternal, care, caregiver, experience, support, infant, social, intergenerational, birth, development","intergenerational transmission, maternal depression, equation modeling"
30,"Depression, Anxiety, Resilience, Depressive",826,"Depression, anxiety & COVID-19 mental health","depression, anxiety, resilience, depressive, social, covid, support, social support, pandemic, depression anxiety, hiv, impact","anxiety and depression, anxiety depression, linear regression, beck depression"
5,"Function, Memory, Social, Threat",781,Neurocognitive threat & memory,"function, memory, social, threat, exposure, psychopathology, deprivation, response, experience, task, negative, executive","executive function, emotion regulation, executive functioning, heart variability, threat and deprivation, social cognition"
9,"Student, Education, Attitude, Online",641,Education & prevention (students/teachers),"student, education, attitude, online, knowledge, prevention, teacher, program, based, survey, image, awareness","csa prevention, prevention education, sexuality education"
21,"Cortisol, Gene, Methylation, Axis",624,Epigenetics & HPA axis,"cortisol, gene, methylation, axis, hpa, dna, hpa axis, response, dna methylation, epigenetic, interaction, expression","dna methylation, gene expression, linear regression, cortisol reactivity, cortisol awakening, mechanisms underlying"
13,"Injury, Body, Pediatric, Obesity",611,Pediatric injury & obesity,"injury, body, pediatric, obesity, weight, disease, infant, fracture, ci, history, bmi, woman","blood pressure, morbidity and mortality, injury severity"
2,"Mdd, Depressive, Major, Inflammation",543,Other / mixed,"mdd, depressive, major, inflammation, major depressive, depression, inflammatory, cortex, il, amygdala, reward, hippocampal","magnetic resonance, resonance imaging, magnetic resonance imaging, functional magnetic resonance, cortical thickness, functional connectivity, functional magnetic resonance imaging, major depression"
