topic,period,representative_words,mean_frequency
0,P1_pre_pandemic,"rat, maternal separation, mouse, separation, expression",141.0
0,P2_pandemic_transition,"rat, mouse, maternal separation, el, separation",143.5
0,P3_post_pandemic,"mouse, el, rat, maternal separation, separation",122.0
0,P4_recent,"maternal separation, separation, rat, mouse, earlylife",85.5
1,P1_pre_pandemic,"ace, experience ace, household dysfunction, ace exposure, relationship ace",76.0
1,P2_pandemic_transition,"ace, experience ace, household dysfunction, ace ace, relationship ace",104.5
1,P3_post_pandemic,"ace, experience ace, household dysfunction, ace exposure, relationship ace",135.0
1,P4_recent,"ace, experience ace, ctes, aceq, relationship ace",101.5
2,P1_pre_pandemic,"emdr, posttraumatic ptsd, traumafocused, tfcbt, ptsd severity",68.0
2,P2_pandemic_transition,"emdr, posttraumatic ptsd, traumafocused, randomize, ptsd depression",78.0
2,P3_post_pandemic,"emdr, traumafocused, posttraumatic ptsd, tfcbt, psychotherapy",63.5
2,P4_recent,"emdr, combat, eye movement, eye, desensitization",45.5
3,P1_pre_pandemic,"csa, csa survivor, history csa, survivor csa, experience csa",40.0
3,P2_pandemic_transition,"csa, experience csa, csa survivor, survivor csa, peritraumatic",61.0
3,P3_post_pandemic,"csa, csa survivor, survivor csa, experience csa, perpetrator",58.5
3,P4_recent,"csa, assertiveness, perpetrator, history csa, allege",34.0
4,P1_pre_pandemic,"ipv, intimate partner, intimate, partner violence, violence ipv",40.0
4,P2_pandemic_transition,"ipv, intimate partner, intimate, partner violence, violence ipv",53.5
4,P3_post_pandemic,"ipv, intimate partner, intimate, partner violence, violence ipv",48.0
4,P4_recent,"ipv, intimate, partner violence, intimate partner, ipv victimization",40.0
5,P1_pre_pandemic,"injury, fracture, head, infant, pediatric",44.0
5,P2_pandemic_transition,"injury, fracture, infant, skeletal, head",56.0
5,P3_post_pandemic,"injury, fracture, head, infant, pediatric",54.5
5,P4_recent,"injury, skeletal, flag, red, burn",24.0
6,P1_pre_pandemic,"attachment, attachment style, insecure, style, insecure attachment",29.0
6,P2_pandemic_transition,"attachment, attachment style, style, insecure, insecure attachment",48.5
6,P3_post_pandemic,"attachment, insecure, attachment style, style, insecure attachment",54.5
6,P4_recent,"paranoid, defense, defense mechanism, thinking, think",35.5
7,P1_pre_pandemic,"covid, pandemic, covid pandemic, coronavirus, lockdown",17.0
7,P2_pandemic_transition,"covid, pandemic, covid pandemic, lockdown, impact covid",55.0
7,P3_post_pandemic,"covid, pandemic, covid pandemic, lockdown, pandemicrelated",54.5
7,P4_recent,"covid, pandemic, covid pandemic, pastyear, cope",17.0
8,P1_pre_pandemic,"worker, protection, migrant, social work, professional",41.0
8,P2_pandemic_transition,"worker, protection, decision, social worker, barrier",37.5
8,P3_post_pandemic,"worker, social worker, social work, welfare, protection",45.5
