topic,topic_type,include_in_trends,display_name,label_keywords,document_count
0,substantive,True,Maternal & infant mental health,"rat, mouse, maternal separation, el, separation, expression, earlylife, maternal",843
1,substantive,True,Adverse childhood experiences (ACE),"ace, experience ace, household dysfunction, ace exposure, relationship ace, ace ace, disease, exposure ace",758
2,substantive,True,PTSD treatment (EMDR / trauma-focused CBT),"emdr, posttraumatic ptsd, traumafocused, ptsd severity, tfcbt, randomize, reprocess, psychotherapy",442
3,substantive,True,"Csa, Csa Survivor, Experience Csa, Survivor Csa","csa, csa survivor, experience csa, survivor csa, history csa, perpetrator, csa experience, disclosure",347
4,substantive,True,Intimate partner violence,"ipv, intimate partner, intimate, partner violence, violence ipv, perpetration, ipv victimization, experience ipv",323
5,substantive,True,"Injury, Fracture, Infant, Head","injury, fracture, infant, head, pediatric, skeletal, nonaccidental, hemorrhage",313
6,substantive,True,"Attachment, Attachment Style, Style, Insecure","attachment, attachment style, style, insecure, insecure attachment, attachment anxiety, attachment insecurity, anxious",306
7,substantive,True,COVID-19 pandemic impact,"covid, pandemic, covid pandemic, lockdown, impact covid, coronavirus, pandemicrelated, outbreak",270
8,substantive,True,"Worker, Protection, Social Work, Social Worker","worker, protection, social work, social worker, welfare, professional, barrier, decision",266
9,substantive,True,"Offender, Offend, Juvenile, Criminal","offender, offend, juvenile, criminal, crime, justice, offense, recidivism",266
10,substantive,True,Epigenetics & DNA methylation,"methylation, dna, dna methylation, epigenetic, gene, nr, fkbp, promoter",247
11,substantive,True,"Cortisol, Hpa, Axis, Hpa Axis","cortisol, hpa, axis, hpa axis, hair, hair cortisol, diurnal, hypothalamicpituitaryadrenal",243
12,suicidality,False,Suicidality & suicidal ideation,"attempt, suicide attempt, suicidal, ideation, attempt suicide, suicide ideation, suicidal ideation, suicidality",240
13,substantive,True,"Cm, Mdd, History Cm, Relationship Cm","cm, mdd, history cm, relationship cm, cm experience, cm exposure, cm type, experience cm",227
14,substantive,True,Adverse childhood experiences (ACE),"role resilience, connordavidson, connordavidson resilience, resilience depression, cdrisc, family resilience, relationship resilience, ace",218
15,substantive,True,"Hiv, Live Hiv, Adherence, Hiv Aid","hiv, live hiv, adherence, hiv aid, infection, msm, aid, syndemic",207
16,substantive,True,"Drug, Opioid, Cannabis, Misuse","drug, opioid, cannabis, misuse, sud, substance misuse, prescription, marijuana",204
17,suicidality,False,Suicidality & suicidal ideation,"nssi, selfinjury, nonsuicidal, nonsuicidal selfinjury, selfinjury nssi, chinese, dysregulation, harm",199
18,substantive,True,Psychosis & psychotic-like experiences,"psychosis, psychotic, fep, chr, firstepisode psychosis, hallucination, firstepisode, schizophrenia",197
19,methods,False,Adverse childhood experiences (ACE),"class, latent class, latent, lca, ace, membership, class identify, class class",195
20,substantive,True,"Church, Catholic, Clergy, Religious","church, catholic, clergy, religious, crisis, spiritual, religion, institutional",194
21,substantive,True,Borderline personality disorder,"bpd, borderline, borderline personality, personality bpd, impulsivity, trait, personality feature, emotion regulation",191
22,substantive,True,"Rape, Perpetrator, Assault, Myth","rape, perpetrator, assault, myth, rape myth, victimsurvivors, police, victim perpetrator",187
23,substantive,True,"Mdd, Major Depressive, Depressive Mdd, Gyrus","mdd, major depressive, depressive mdd, gyrus, mdd healthy, connectivity, hcs, functional",186
24,substantive,True,"Interviewer, Forensic Interview, Investigative, Forensic","interviewer, forensic interview, investigative, forensic, rapport, feedback, police, witness",185
25,substantive,True,"Pain, Chronic Pain, Pelvic, Pelvic Pain","pain, chronic pain, pelvic, pelvic pain, fibromyalgia, catastrophizing, interference, opioid",183
26,substantive,True,"Eat, Ed, Eating, Binge Eat","eat, ed, eating, binge eat, binge, nervosa, anorexia, disorder",179
27,substantive,True,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance","sleep, sleep quality, sleep disturbance, disturbance, sleep problem, sleep duration, duration, insomnia",170
28,substantive,True,"Connectivity, Functional, Functional Connectivity, Restingstate","connectivity, functional, functional connectivity, restingstate, amygdala, fc, cortex, restingstate functional",167
29,substantive,True,"Bd, Bipolar, Mood, Bipolar Bd","bd, bipolar, mood, bipolar bd, episode, mania, onset, mdd",165
30,substantive,True,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy","emotion regulation, dysregulation, emotion dysregulation, regulation strategy, difficulty emotion, suppression, er, regulation difficulty",165
31,suicidality,False,Suicidality & suicidal ideation,"suicidal ideation, ideation, suicidal, relationship suicidal, thought, suicidality, experience suicidal, ideation suicidal",157
32,methods,False,"Psychometric, Psychometric Property, Internal Consistency, Property","psychometric, psychometric property, internal consistency, property, consistency, internal, ctqsf, confirmatory",156
33,substantive,True,"Dissociation, Dissociative, Dissociative Experience, Identity","dissociation, dissociative, dissociative experience, identity, dissociative identity, depersonalization, amnesia, psychotic",146
34,substantive,True,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence","violence exposure, genderbased, genderbased violence, exposure violence, experience violence, family violence, type violence, violence violence",146
35,substantive,True,"Disability, Intellectual, Intellectual Disability, Id","disability, intellectual, intellectual disability, id, sexuality, developmental disability, sexuality education, disabled",144
36,substantive,True,Image-based sexual abuse,"imagebased, nonconsensual, image, sexting, revenge, pornography, porn, digital",141
37,substantive,True,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction","parentchild, parentchild relationship, parenting, parentchild interaction, foster parent, parent parent, autistic, caregiver",140
38,substantive,True,"Sport, Athlete, Coach, Harassment","sport, athlete, coach, harassment, safeguard, iv, interpersonal violence, safe",136
39,substantive,True,Maternal & infant mental health,"mother, maternal, intergenerational, transmission, intergenerational transmission, motherchild, maternal depression, offspring",135
40,substantive,True,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety","depression anxiety, anxiety depression, anxiety depressive, trait anxiety, migraine, depressive anxiety, social anxiety, gad",134
41,substantive,True,"Externalize, Internalize, Internalize Externalize, Externalize Problem","externalize, internalize, internalize externalize, externalize problem, internalize problem, externalize internalize, externalize behavior, conduct problem",133
42,substantive,True,College students & campus prevention,"college, college student, student experience, academic, harassment, campus, assault, nursing student",132
43,substantive,True,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle","traumainformed, traumainformed care, traumainformed practice, principle, training, implementation, traumainformed approach, staff",132
