bertopic_id,display_name,term,paradigm_support
0,Maternal & infant mental health,rat,4
0,Maternal & infant mental health,mouse,3
0,Maternal & infant mental health,maternal separation,3
0,Maternal & infant mental health,separation,3
0,Maternal & infant mental health,expression,4
0,Maternal & infant mental health,maternal,4
1,Adverse childhood experiences (ACE),ace,4
1,Adverse childhood experiences (ACE),experience ace,3
2,PTSD treatment (EMDR / trauma-focused CBT),emdr,3
2,PTSD treatment (EMDR / trauma-focused CBT),randomize,3
2,PTSD treatment (EMDR / trauma-focused CBT),psychotherapy,3
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",csa,4
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",csa survivor,3
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",survivor csa,3
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",disclosure,3
4,Intimate partner violence,ipv,4
4,Intimate partner violence,intimate partner,4
4,Intimate partner violence,intimate,4
4,Intimate partner violence,partner violence,4
4,Intimate partner violence,violence ipv,3
5,"Injury, Fracture, Infant, Head",injury,3
5,"Injury, Fracture, Infant, Head",fracture,3
5,"Injury, Fracture, Infant, Head",infant,3
5,"Injury, Fracture, Infant, Head",head,3
5,"Injury, Fracture, Infant, Head",pediatric,3
5,"Injury, Fracture, Infant, Head",skeletal,3
5,"Injury, Fracture, Infant, Head",suspect,3
6,"Attachment, Attachment Style, Style, Insecure",attachment,4
6,"Attachment, Attachment Style, Style, Insecure",attachment style,3
6,"Attachment, Attachment Style, Style, Insecure",style,3
6,"Attachment, Attachment Style, Style, Insecure",insecure,3
6,"Attachment, Attachment Style, Style, Insecure",insecure attachment,3
6,"Attachment, Attachment Style, Style, Insecure",attachment anxiety,3
6,"Attachment, Attachment Style, Style, Insecure",anxious,3
6,"Attachment, Attachment Style, Style, Insecure",avoidant,3
7,COVID-19 pandemic impact,covid,3
7,COVID-19 pandemic impact,pandemic,3
7,COVID-19 pandemic impact,covid pandemic,3
7,COVID-19 pandemic impact,lockdown,3
7,COVID-19 pandemic impact,impact covid,3
7,COVID-19 pandemic impact,coronavirus,3
8,"Worker, Protection, Social Work, Social Worker",professional,3
9,"Offender, Offend, Juvenile, Criminal",offender,4
9,"Offender, Offend, Juvenile, Criminal",offend,3
9,"Offender, Offend, Juvenile, Criminal",crime,4
9,"Offender, Offend, Juvenile, Criminal",offense,3
9,"Offender, Offend, Juvenile, Criminal",recidivism,3
10,Epigenetics & DNA methylation,methylation,4
10,Epigenetics & DNA methylation,dna,4
10,Epigenetics & DNA methylation,dna methylation,4
10,Epigenetics & DNA methylation,epigenetic,3
10,Epigenetics & DNA methylation,gene,3
10,Epigenetics & DNA methylation,nr,3
10,Epigenetics & DNA methylation,cpg,3
11,"Cortisol, Hpa, Axis, Hpa Axis",cortisol,4
11,"Cortisol, Hpa, Axis, Hpa Axis",hpa,4
11,"Cortisol, Hpa, Axis, Hpa Axis",axis,3
11,"Cortisol, Hpa, Axis, Hpa Axis",hpa axis,4
12,Suicidality & suicidal ideation,attempt,4
12,Suicidality & suicidal ideation,suicide attempt,4
12,Suicidality & suicidal ideation,suicidal,4
12,Suicidality & suicidal ideation,ideation,4
12,Suicidality & suicidal ideation,attempt suicide,3
12,Suicidality & suicidal ideation,suicidal ideation,4
12,Suicidality & suicidal ideation,suicide,3
13,"Cm, Mdd, History Cm, Relationship Cm",cm,3
15,"Hiv, Live Hiv, Adherence, Hiv Aid",hiv,3
15,"Hiv, Live Hiv, Adherence, Hiv Aid",live hiv,3
15,"Hiv, Live Hiv, Adherence, Hiv Aid",adherence,3
15,"Hiv, Live Hiv, Adherence, Hiv Aid",infection,3
16,"Drug, Opioid, Cannabis, Misuse",drug,3
16,"Drug, Opioid, Cannabis, Misuse",cannabis,3
16,"Drug, Opioid, Cannabis, Misuse",addiction,4
17,Suicidality & suicidal ideation,nssi,4
17,Suicidality & suicidal ideation,nonsuicidal,3
17,Suicidality & suicidal ideation,self,3
17,Suicidality & suicidal ideation,injury,3
17,Suicidality & suicidal ideation,suicidal self,3
17,Suicidality & suicidal ideation,self injury,3
17,Suicidality & suicidal ideation,non suicidal,3
17,Suicidality & suicidal ideation,suicidal,3
18,Psychosis & psychotic-like experiences,psychosis,3
18,Psychosis & psychotic-like experiences,psychotic,3
18,Psychosis & psychotic-like experiences,schizophrenia,3
19,Adverse childhood experiences (ACE),class,3
19,Adverse childhood experiences (ACE),latent class,3
19,Adverse childhood experiences (ACE),latent,3
20,"Church, Catholic, Clergy, Religious",church,3
20,"Church, Catholic, Clergy, Religious",catholic,3
20,"Church, Catholic, Clergy, Religious",clergy,3
20,"Church, Catholic, Clergy, Religious",religious,4
20,"Church, Catholic, Clergy, Religious",crisis,3
20,"Church, Catholic, Clergy, Religious",spiritual,3
20,"Church, Catholic, Clergy, Religious",institutional,3
21,Borderline personality disorder,bpd,3
21,Borderline personality disorder,borderline,4
21,Borderline personality disorder,borderline personality,3
21,Borderline personality disorder,personality bpd,3
21,Borderline personality disorder,trait,3
22,"Rape, Perpetrator, Assault, Myth",rape,3
22,"Rape, Perpetrator, Assault, Myth",perpetrator,3
22,"Rape, Perpetrator, Assault, Myth",assault,3
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",mdd,4
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",major depressive,3
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",depressive mdd,3
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",depressive,3
24,"Interviewer, Forensic Interview, Investigative, Forensic",interviewer,3
24,"Interviewer, Forensic Interview, Investigative, Forensic",forensic interview,3
24,"Interviewer, Forensic Interview, Investigative, Forensic",investigative,3
24,"Interviewer, Forensic Interview, Investigative, Forensic",forensic,3
24,"Interviewer, Forensic Interview, Investigative, Forensic",witness,3
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",pain,4
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",chronic pain,4
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",pelvic,4
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",pelvic pain,4
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",fibromyalgia,4
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",chronic,3
26,"Eat, Ed, Eating, Binge Eat",eat,4
26,"Eat, Ed, Eating, Binge Eat",ed,4
26,"Eat, Ed, Eating, Binge Eat",eating,4
26,"Eat, Ed, Eating, Binge Eat",binge eat,4
26,"Eat, Ed, Eating, Binge Eat",binge,4
26,"Eat, Ed, Eating, Binge Eat",nervosa,4
26,"Eat, Ed, Eating, Binge Eat",anorexia,4
26,"Eat, Ed, Eating, Binge Eat",anorexia nervosa,4
26,"Eat, Ed, Eating, Binge Eat",bulimia,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",sleep,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",sleep quality,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",sleep disturbance,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",disturbance,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",sleep problem,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",sleep duration,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",duration,3
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",insomnia,4
28,"Connectivity, Functional, Functional Connectivity, Restingstate",connectivity,4
28,"Connectivity, Functional, Functional Connectivity, Restingstate",functional,4
28,"Connectivity, Functional, Functional Connectivity, Restingstate",functional connectivity,4
28,"Connectivity, Functional, Functional Connectivity, Restingstate",amygdala,3
28,"Connectivity, Functional, Functional Connectivity, Restingstate",cortex,4
28,"Connectivity, Functional, Functional Connectivity, Restingstate",neural,4
29,"Bd, Bipolar, Mood, Bipolar Bd",bd,3
29,"Bd, Bipolar, Mood, Bipolar Bd",bipolar,4
29,"Bd, Bipolar, Mood, Bipolar Bd",mood,3
29,"Bd, Bipolar, Mood, Bipolar Bd",bipolar bd,3
29,"Bd, Bipolar, Mood, Bipolar Bd",episode,3
29,"Bd, Bipolar, Mood, Bipolar Bd",onset,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",emotion regulation,4
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",dysregulation,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",emotion dysregulation,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",regulation strategy,4
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",difficulty emotion,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",regulation difficulty,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",regulation,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",emotion,3
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",strategy,3
31,Suicidality & suicidal ideation,ideation,3
