UT (Unique WOS ID),Article Title,detected_lang,lang_confidence,spanish_token_ratio,reason
WOS:001268764900001,"Self-stigma mediates the relationships between childhood maltreatment and symptom levels of PTSD, depression, and anxiety",unknown,0.0,0.2760416666666667,spanish_token_ratio=0.276
WOS:001391485800001,Childhood abuse and neglect and adult body attitude,unknown,0.0,0.30162412993039445,spanish_token_ratio=0.302
WOS:001431066600001,Childhood maltreatment and non-suicidal self-injury: the mediating role of mentalization and depression,unknown,0.0,0.2927461139896373,spanish_token_ratio=0.293
WOS:001472597600001,The impact of types of childhood maltreatment on the severity of PTSD and comorbid personality disorder symptoms,unknown,0.0,0.34532374100719426,spanish_token_ratio=0.345
WOS:001257207700001,Types of childhood maltreatment as predictors of posttraumatic stress disorder severity and complex posttraumatic stress disorder in patients with substance use disorders,unknown,0.0,0.28509406657018815,spanish_token_ratio=0.285
WOS:001609547600001,Association between specific childhood trauma and symptom dimensions in patients with obsessive-compulsive disorder: dimensional and network perspectives,unknown,0.0,0.23658536585365852,spanish_token_ratio=0.237
WOS:001191342200001,Childhood adversity in a youth psychiatric population: prevalence and associated mental health problems,unknown,0.0,0.2119815668202765,spanish_token_ratio=0.212
WOS:001140018700001,Childhood adversity and mind wandering: the mediating role of cognitive flexibility and habitual tendencies,unknown,0.0,0.21588089330024815,spanish_token_ratio=0.216
WOS:001221442800001,Differential constellations of dissociative symptoms and their association with childhood trauma - a latent profile analysis,unknown,0.0,0.26359832635983266,spanish_token_ratio=0.264
WOS:001178091200001,The effect of maternal childhood maltreatment on postpartum mother-child bonding and maternal hair glucocorticoids,unknown,0.0,0.19776119402985073,spanish_token_ratio=0.198
WOS:001272186600001,"The relationship between childhood maltreatment and self-harm: the mediating roles of alexithymia, dissociation, internalizing and posttraumatic symptoms",unknown,0.0,0.3041958041958042,spanish_token_ratio=0.304
WOS:001520294000001,Roles of mindfulness and depressive symptoms on the association between adverse childhood experiences and non-suicidal self-injury,unknown,0.0,0.2718204488778055,spanish_token_ratio=0.272
WOS:001432496800001,"Using explainable machine learning to investigate the relationship between childhood maltreatment, positive psychological traits, and CPTSD symptoms",unknown,0.0,0.2730560578661845,spanish_token_ratio=0.273
WOS:001276075800001,Childhood trauma is linked to epigenetic age deceleration in young adults with previous youth residential care placements,unknown,0.0,0.2709447415329768,spanish_token_ratio=0.271
WOS:001610634800001,Discriminating childhood traumatic experiences by molecular profiles: the case of neglect and sexual abuse,unknown,0.0,0.29333333333333333,spanish_token_ratio=0.293
WOS:001486073800001,Associations of parental labour migration and childhood maltreatment with psychosocial health among adolescents and young adults in China,unknown,0.0,0.28629856850715746,spanish_token_ratio=0.286
WOS:001447929900001,"Assessing Child Maltreatment and Its Relationships With Personality, Resilience and Attachment in Adulthood",unknown,0.0,0.2737226277372263,spanish_token_ratio=0.274
